expName	date	vpNum	gender	age	handedness	mapping	block	trial	trialCount	practice	stimComb	language	word	colour	compCode	compLabel	corrKeyLabel	corrKeyNum	fixOn_VBLTimestamp	fixOn_StimulusOnsetTime	fixOn_FlipTimestamp	fixOn_Missed	fixOn_Beampos	stroopOn_VBLTimestamp	stroopOn_StimulusOnsetTime	stroopOn_FlipTimestamp	stroopOn_Missed	stroopOn_Beampos	fbOn_VBLTimestamp	fbOn_StimulusOnsetTime	fbOn_FlipTimestamp	fbOn_Missed	fbOn_Beampos	fbOff_VBLTimestamp	fbOff_StimulusOnsetTime	fbOff_FlipTimestamp	fbOff_Missed	fbOff_Beampos	respKey	respKeyTimestamp	corr	rt
stroopControlBeh	20170126T115550	1	m	19	r	1	1	1	1	1	99	L2	rot	green	2	incomp	right	191	1485428147.680840	1485428147.680840	1485428147.681360	-0.000836	11	1485428148.431736	1485428148.431736	1485428148.432294	-0.000833	12	1485428149.082514	1485428149.082514	1485428149.082834	-0.000834	4	1485428150.083708	1485428150.083708	1485428150.084180	-0.000834	11	191	1485428149.049180	1	615.432501
stroopControlBeh	20170126T115552	1	m	19	r	1	1	2	2	1	99	L1	blue	blue	1	comp	left	127	1485428150.834605	1485428150.834605	1485428150.835080	-0.000833	9	1485428151.585501	1485428151.585501	1485428151.586032	-0.000834	11	1485428151.969293	1485428151.969293	1485428151.969638	-0.000834	5	1485428152.970488	1485428152.970488	1485428152.970925	-0.000834	10	127	1485428151.954150	1	366.662502
stroopControlBeh	20170126T115556	1	m	19	r	1	1	3	3	1	99	L2	blau	brown	2	incomp	right	191	1485428153.721385	1485428153.721385	1485428153.721916	-0.000833	12	1485428154.472282	1485428154.472282	1485428154.472791	-0.000833	9	1485428155.123059	1485428155.123059	1485428155.123484	-0.000833	7	1485428156.124254	1485428156.124254	1485428156.124655	-0.000834	8	191	1485428155.107140	1	632.873058
stroopControlBeh	20170126T115558	1	m	19	r	1	1	4	4	1	99	L1	red	green	2	incomp	right	191	1485428156.875151	1485428156.875151	1485428156.875644	-0.000833	10	1485428157.626047	1485428157.626047	1485428157.626564	-0.000834	12	1485428157.959780	1485428157.959780	1485428157.960246	-0.000834	9	1485428158.960975	1485428158.960975	1485428158.961456	-0.000833	12	127	1485428157.940132	2	312.104702
stroopControlBeh	20170126T115601	1	m	19	r	1	1	5	5	1	99	L2	rot	red	1	comp	left	127	1485428159.711871	1485428159.711871	1485428159.712406	-0.000835	12	1485428160.462768	1485428160.462768	1485428160.463284	-0.000833	9	1485428160.813186	1485428160.813186	1485428160.813659	-0.000834	9	1485428161.814382	1485428161.814382	1485428161.814783	-0.000833	10	127	1485428160.793133	1	328.372955
stroopControlBeh	20170126T115604	1	m	19	r	1	1	6	6	1	99	L2	braun	blue	2	incomp	left	127	1485428162.565279	1485428162.565279	1485428162.565700	-0.000834	10	1485428163.316175	1485428163.316175	1485428163.316730	-0.000834	11	1485428163.666593	1485428163.666593	1485428163.667025	-0.000834	8	1485428164.667789	1485428164.667789	1485428164.668300	-0.000833	13	127	1485428163.657128	1	338.962793
stroopControlBeh	20170126T115607	1	m	19	r	1	1	7	7	1	99	L2	braun	brown	1	comp	right	191	1485428165.418685	1485428165.418685	1485428165.419131	-0.000834	8	1485428166.169583	1485428166.169583	1485428166.170114	-0.000833	10	1485428166.536687	1485428166.536687	1485428166.537131	-0.000834	8	1485428167.537882	1485428167.537882	1485428167.538359	-0.000834	12	191	1485428166.518116	1	346.554279
stroopControlBeh	20170126T115610	1	m	19	r	1	1	8	8	1	99	L1	brown	blue	2	incomp	left	127	1485428168.288779	1485428168.288779	1485428168.289220	-0.000833	8	1485428169.039675	1485428169.039675	1485428169.040029	-0.000834	4	1485428169.506901	1485428169.506901	1485428169.507236	-0.000833	5	1485428170.508096	1485428170.508096	1485428170.508524	-0.000834	10	127	1485428169.500114	1	458.456516
stroopControlBeh	20170126T115613	1	m	19	r	1	1	9	9	1	99	L1	green	red	2	incomp	left	127	1485428171.258992	1485428171.258992	1485428171.259442	-0.000833	9	1485428172.009889	1485428172.009889	1485428172.010405	-0.000833	10	1485428172.694042	1485428172.694042	1485428172.694376	-0.000831	5	1485428173.695234	1485428173.695234	1485428173.695682	-0.000837	11	127	1485428172.686108	1	674.231529
stroopControlBeh	20170126T115616	1	m	19	r	1	1	10	10	1	99	L1	brown	brown	1	comp	right	191	1485428174.446131	1485428174.446131	1485428174.446601	-0.000833	9	1485428175.197027	1485428175.197027	1485428175.197569	-0.000834	10	1485428175.530763	1485428175.530763	1485428175.531102	-0.000830	5	1485428176.531955	1485428176.531955	1485428176.532365	-0.000836	8	191	1485428175.521100	1	322.085857
stroopControlBeh	20170126T115619	1	m	19	r	1	1	11	11	1	99	L1	green	green	1	comp	right	191	1485428177.282851	1485428177.282851	1485428177.283293	-0.000834	8	1485428178.033748	1485428178.033748	1485428178.034262	-0.000833	9	1485428178.417541	1485428178.417541	1485428178.417977	-0.000833	7	1485428179.418736	1485428179.418736	1485428179.419182	-0.000834	11	127	1485428178.400093	2	364.361525
stroopControlBeh	20170126T115622	1	m	19	r	1	1	12	12	1	99	L1	green	green	1	comp	right	191	1485428180.169632	1485428180.169632	1485428180.170129	-0.000834	11	1485428180.920528	1485428180.920528	1485428180.921038	-0.000834	9	1485428181.321007	1485428181.321007	1485428181.321476	-0.000833	8	1485428182.322202	1485428182.322202	1485428182.322634	-0.000833	10	191	1485428181.303092	1	380.575895
stroopControlBeh	20170126T115625	1	m	19	r	1	1	13	13	1	99	L2	blau	brown	2	incomp	right	191	1485428183.073097	1485428183.073097	1485428183.073558	-0.000835	9	1485428183.823995	1485428183.823995	1485428183.824500	-0.000832	9	1485428184.307908	1485428184.307908	1485428184.308385	-0.000832	9	1485428185.309102	1485428185.309102	1485428185.309538	-0.000835	10	191	1485428184.288084	1	462.096930
stroopControlBeh	20170126T115628	1	m	19	r	1	1	14	14	1	99	L1	red	red	1	comp	left	127	1485428186.059998	1485428186.059998	1485428186.060436	-0.000834	8	1485428186.810895	1485428186.810895	1485428186.811384	-0.000833	9	1485428187.161316	1485428187.161316	1485428187.161699	0.015855	6	1485428188.162509	1485428188.162509	1485428188.162922	-0.000835	9	191	1485428187.139070	2	326.197863
stroopControlBeh	20170126T115631	1	m	19	r	1	1	15	15	1	99	L2	grün	red	2	incomp	left	127	1485428188.913405	1485428188.913405	1485428188.913837	-0.000834	8	1485428189.664303	1485428189.664303	1485428189.664871	-0.000833	11	1485428190.031409	1485428190.031409	1485428190.031889	-0.000833	8	1485428191.032602	1485428191.032602	1485428191.033028	-0.000836	9	127	1485428190.017070	1	350.779295
stroopControlBeh	20170126T115633	1	m	19	r	1	1	16	16	1	99	L2	grün	red	2	incomp	left	127	1485428191.783499	1485428191.783499	1485428191.783977	-0.000833	8	1485428192.534395	1485428192.534395	1485428192.534871	-0.000834	8	1485428192.868127	1485428192.868127	1485428192.868599	-0.000834	9	1485428193.869323	1485428193.869323	1485428193.869794	-0.000833	11	127	1485428192.853065	1	316.678762
stroopControlBeh	20170126T115636	1	m	19	r	1	1	17	17	1	99	L2	braun	brown	1	comp	right	191	1485428194.620219	1485428194.620219	1485428194.620667	-0.000834	9	1485428195.371116	1485428195.371116	1485428195.371629	-0.000834	10	1485428195.671478	1485428195.671478	1485428195.671875	0.015856	7	1485428196.672671	1485428196.672671	1485428196.673093	-0.000836	9	127	1485428195.650054	2	276.952982
stroopControlBeh	20170126T115639	1	m	19	r	1	1	18	18	1	99	L1	red	red	1	comp	left	127	1485428197.423568	1485428197.423568	1485428197.424054	-0.000833	10	1485428198.174463	1485428198.174463	1485428198.174951	-0.000835	8	1485428198.574941	1485428198.574941	1485428198.575377	-0.000834	7	1485428199.576137	1485428199.576137	1485428199.576579	-0.000833	10	127	1485428198.563046	1	386.600971
stroopControlBeh	20170126T115642	1	m	19	r	1	1	19	19	1	99	L1	blue	brown	2	incomp	right	191	1485428200.327034	1485428200.327034	1485428200.327514	-0.000834	10	1485428201.077930	1485428201.077930	1485428201.078425	-0.000834	8	1485428201.361603	1485428201.361603	1485428201.361930	-0.000833	4	1485428202.362797	1485428202.362797	1485428202.363249	-0.000834	10	191	1485428201.348042	1	268.128157
stroopControlBeh	20170126T115645	1	m	19	r	1	1	20	20	1	99	L2	braun	blue	2	incomp	left	127	1485428203.113694	1485428203.113694	1485428203.114145	-0.000833	8	1485428203.864591	1485428203.864591	1485428203.865118	-0.000833	10	1485428204.198326	1485428204.198326	1485428204.198659	-0.000832	5	1485428205.199518	1485428205.199518	1485428205.199972	-0.000836	10	127	1485428204.187039	1	320.458651
